TIME;SOURCE;DESTINATION;PORT;FLAGS;LENGTH
15:34:06.683655;190-0-175-100.gba.solunet.com.ar.ospfapi;184.107.43.74.http;vide;S;120
15:34:06.683671;190-0-175-100.gba.solunet.com.ar.isisd;184.107.43.74.http;vide;S;120
15:34:06.683687;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2609;S;120
15:34:06.683704;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2610;S;120
15:34:06.683720;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2611;S;120
15:34:06.683738;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2612;S;120
15:34:06.683756;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2613;S;120
15:34:06.683779;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2614;S;120
15:34:06.683804;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2615;S;120
15:34:06.683824;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2616;S;120
15:34:06.683841;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2617;S;120
15:34:06.683857;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2618;S;120
15:34:06.683874;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2619;S;120
15:34:06.683890;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2620;S;120
15:34:06.683907;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2621;S;120
15:34:06.683924;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2622;S;120
15:34:06.683951;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2623;S;120
15:34:06.683970;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2624;S;120
15:34:06.683990;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2625;S;120
15:34:06.684009;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2626;S;120
15:34:06.684029;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2627;S;120
15:34:06.684048;190-0-175-100.gba.solunet.com.ar.dict;184.107.43.74.http;vide;S;120
15:34:06.684064;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2629;S;120
15:34:06.684080;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2630;S;120
15:34:06.684097;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2631;S;120
15:34:06.684113;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2632;S;120
15:34:06.684129;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2633;S;120
15:34:06.684146;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2634;S;120
